Sigla;Código;Município;Renda familiar - per capita - média (1991);Alfabetizados - pessoas 15 anos e mais (1991);
BA;2903706;Boa Nova;0,27;38,927;
BA;2903805;Boa Vista do Tupim;0,23;45,807;
BA;2903904;Bom Jesus da Lapa;0,5;60,326;
BA;2903953;Bom Jesus da Serra;0,26;42,879;
BA;2904001;Boninal;0,33;57,021;
BA;2904050;Bonito;0,37;61,683;
BA;2904100;Boquira;0,33;56,464;
BA;2904209;Botuporã;0,19;43,42;
BA;2904308;Brejões;0,35;51,697;
BA;2904407;Brejolândia;0,3;54,727;
BA;2904506;Brotas de Macaúbas;0,29;67,09;
BA;2904605;Brumado;0,59;67,332;
BA;2904704;Buerarema;0,38;58,72;
BA;2904753;Buritirama;0,23;46,222;
BA;2904803;Caatiba;0,28;40,953;
BA;2904852;Cabaceiras do Paraguaçu;0,21;47,936;
BA;2904902;Cachoeira;0,48;67,223;
BA;2905008;Caculé;0,38;61,554;
BA;2905107;Caém;0,24;55,36;
BA;2905156;Caetanos;0,25;42,725;
BA;2905206;Caetité;0,42;54,629;
BA;2905305;Cafarnaum;0,34;61,055;
BA;2905404;Cairu;0,39;48,088;
BA;2905503;Caldeirão Grande;0,31;53,841;
BA;2905602;Camacan;0,35;58,697;
BA;2905701;Camaçari;0,75;79,952;
BA;2905800;Camamu;0,33;48,937;
BA;2905909;Campo Alegre de Lourdes;0,19;51,537;
BA;2906006;Campo Formoso;0,33;53,151;
BA;2906105;Canápolis;0,23;47,326;
BA;2906204;Canarana;0,48;68,537;
BA;2906303;Canavieiras;0,39;59,739;
BA;2906402;Candeal;0,29;59,289;
BA;2906501;Candeias;0,66;77,729;
BA;2906600;Candiba;0,3;51,373;
BA;2906709;Cândido Sales;0,41;52,329;
BA;2906808;Cansanção;0,28;50,208;
BA;2906824;Canudos;0,3;48,484;
BA;2906857;Capela do Alto Alegre;0,4;61,173;
BA;2906873;Capim Grosso;0,36;58,546;
BA;2906899;Caraíbas;0,35;42,378;
BA;2906907;Caravelas;0,41;49,827;
BA;2907004;Cardeal da Silva;0,28;46,812;
BA;2907103;Carinhanha;0,28;50,41;
BA;2907202;Casa Nova;0,31;52,632;
BA;2907301;Castro Alves;0,38;55,911;
BA;2907400;Catolândia;0,31;51,458;
BA;2907509;Catu;0,57;74,112;
BA;2907558;Caturama;0,3;45,164;
BA;2907608;Central;0,39;64,749;
BA;2907707;Chorrochó;0,21;54,803;
BA;2907806;Cícero Dantas;0,4;47,83;
BA;2907905;Cipó;0,43;57,963;
BA;2908002;Coaraci;0,38;57,163;
BA;2908101;Cocos;0,34;47,931;
BA;2908200;Conceição da Feira;0,48;63,612;
BA;2908309;Conceição do Almeida;0,41;56,978;
BA;2908408;Conceição do Coité;0,39;59,307;
BA;2908507;Conceição do Jacuípe;0,59;69,496;
BA;2908606;Conde;0,28;43,119;
BA;2908705;Condeúba;0,29;51,753;
BA;2908804;Contendas do Sincorá;0,42;43,266;
BA;2908903;Coração de Maria;0,36;52,107;
BA;2909000;Cordeiros;0,28;52,403;
BA;2909109;Coribe;0,43;45,082;
BA;2909208;Coronel João Sá;0,31;21,658;
BA;2909307;Correntina;0,4;50,27;
BA;2909406;Cotegipe;0,3;44,272;
BA;2909505;Cravolândia;0,26;44,626;
BA;2909604;Crisópolis;0,39;42,239;
BA;2909703;Cristópolis;0,41;47,173;
BA;2909802;Cruz das Almas;0,63;73,33;
BA;2909901;Curaçá;0,42;53,899;
BA;2910008;Dário Meira;0,24;38,007;
BA;2910057;Dias d'Ávila;0,79;79,624;
BA;2910107;Dom Basílio;0,38;51,093;
BA;2910206;Dom Macedo Costa;0,32;56,772;
BA;2910305;Elísio Medrado;0,35;56,771;
BA;2910404;Encruzilhada;0,34;35,396;
BA;2910503;Entre Rios;0,4;60,009;
BA;2910602;Esplanada;0,45;55,172;
BA;2910701;Euclides da Cunha;0,3;44,52;
BA;2910727;Eunápolis;0,69;66,684;
BA;2910750;Fátima;0,25;37,665;
BA;2910776;Feira da Mata;0,54;58,446;
BA;2910800;Feira de Santana;0,94;78,4;
BA;2910859;Filadélfia;0,28;54,478;
BA;2910909;Firmino Alves;0,44;52,301;
BA;2911006;Floresta Azul;0,34;56,058;
BA;2911105;Formosa do Rio Preto;0,6;50,198;
BA;2911204;Gandu;0,78;59,69;
BA;2911253;Gavião;0,52;48,076;
BA;2911303;Gentio do Ouro;0,55;53,212;
BA;2911402;Glória;0,35;47,006;
BA;2911501;Gongogi;0,23;49,135;
BA;2911600;Governador Mangabeira;0,32;59,677;
BA;2911659;Guajeru;0,33;52,04;
BA;2911709;Guanambi;0,61;64,839;
BA;2911808;Guaratinga;0,54;42,193;
BA;2911857;Heliópolis;0,27;36,9;
BA;2911907;Iaçu;0,33;45,895;
BA;2912004;Ibiassucê;0,4;59,242;
BA;2912103;Ibicaraí;0,41;59,471;
BA;2912202;Ibicoara;0,28;56,881;
BA;2912301;Ibicuí;0,75;52,384;
BA;2912400;Ibipeba;0,37;58,255;
BA;2912509;Ibipitanga;0,38;52,988;
BA;2912608;Ibiquera;0,22;52,788;
BA;2912707;Ibirapitanga;0,27;40,486;
BA;2912806;Ibirapuã;0,43;55,656;
BA;2912905;Ibirataia;0,42;50,412;
BA;2913002;Ibitiara;0,27;54,167;
BA;2913101;Ibititá;0,36;62,969;
BA;2913200;Ibotirama;0,44;61,369;
BA;2913309;Ichu;0,36;66,329;
BA;2913408;Igaporã;0,32;55,118;
BA;2913457;Igrapiúna;0,35;38,496;
BA;2913507;Iguaí;0,39;44,926;
BA;2913606;Ilhéus;0,6;65,174;
BA;2913705;Inhambupe;0,32;52,09;
BA;2913804;Ipecaetá;0,32;52,428;
BA;2913903;Ipiaú;0,6;63,134;
BA;2914000;Ipirá;0,38;52,666;
BA;2914109;Ipupiara;0,34;71,476;
BA;2914208;Irajuba;0,25;49,132;
BA;2914307;Iramaia;0,27;47,336;
BA;2914406;Iraquara;0,29;61,627;
BA;2914505;Irará;0,35;56,438;
BA;2914604;Irecê;0,71;71,328;
BA;2914653;Itabela;0,42;55,936;
BA;2914703;Itaberaba;0,47;65,081;
BA;2914802;Itabuna;0,92;77,505;
BA;2914901;Itacaré;0,46;45,484;
BA;2915007;Itaeté;0,24;41,153;
BA;2915106;Itagi;0,28;48,204;
BA;2915205;Itagibá;0,31;46,025;
BA;2915304;Itagimirim;0,5;51,836;
BA;2915353;Itaguaçu da Bahia;0,19;42,375;
BA;2915403;Itaju do Colônia;0,26;50,765;
BA;2915502;Itajuípe;0,44;56,429;
BA;2915601;Itamaraju;0,64;59,099;
BA;2915700;Itamari;0,47;42,625;
BA;2915809;Itambé;0,4;50,014;
BA;2915908;Itanagra;0,29;43,392;
BA;2916005;Itanhém;0,49;56,535;
BA;2916104;Itaparica;0,42;81,089;
BA;2916203;Itapé;0,23;57,774;
BA;2916302;Itapebi;0,31;45,666;
BA;2916401;Itapetinga;0,7;68,199;
BA;2916500;Itapicuru;0,32;38,6;
BA;2916609;Itapitanga;0,4;51,612;
BA;2916708;Itaquara;0,3;41,393;
BA;2916807;Itarantim;0,3;56,658;
BA;2916856;Itatim;0,32;51,09;
BA;2916906;Itiruçu;0,37;56,024;
BA;2917003;Itiúba;0,35;54,57;
BA;2917102;Itororó;0,4;53,843;
BA;2917201;Ituaçu;0,44;46,305;
BA;2917300;Ituberá;0,33;52,321;
BA;2917334;Iuiú;0,37;44,665;
BA;2917359;Jaborandi;0,3;49,954;
BA;2917409;Jacaraci;0,31;55,929;
BA;2917508;Jacobina;0,58;65,243;
BA;2917607;Jaguaquara;0,44;52,747;
BA;2917706;Jaguarari;0,41;56,743;
BA;2917805;Jaguaripe;0,33;42,775;
BA;2917904;Jandaíra;0,29;41,861;
BA;2918001;Jequié;0,58;65,849;
BA;2918100;Jeremoabo;0,4;37,925;
BA;2918209;Jiquiriçá;0,33;50,88;
BA;2918308;Jitaúna;0,3;41,451;
BA;2918357;João Dourado;0,37;57,596;
BA;2918407;Juazeiro;0,63;71,701;
BA;2918456;Jucuruçu;0,27;39,451;
BA;2918506;Jussara;0,26;58,686;
BA;2918555;Jussari;0,28;56,192;
BA;2918605;Jussiape;0,46;68,266;
BA;2918704;Lafaiete Coutinho;0,21;48,659;
BA;2918753;Lagoa Real;0,22;47,55;
BA;2918803;Laje;0,45;46,746;
BA;2918902;Lajedão;0,99;57,724;
BA;2919009;Lajedinho;0,23;52,137;
