valor;nfotos;cilindradas;cor;km;cambio;ano;anuncio;cidade;estado
109000;8;3.2;Prata;68243;Automática;2013;Veículo de concessionária;Linhares;ES
114900;7;3.2;Preto;100;Automática;2012;Veículo de concessionária;Uberlândia;MG
114900;7;3.2;Preto;100;Automática;2013;Veículo de concessionária;Uberlândia;MG
123990;8;3.2;Prata;0;Manual;2014;Veículo de concessionária;Cascavel;PR
120000;7;3.2;Preto;54002;Automática;2012;Veículo de concessionária;Garanhuns;PE
124800;8;3.2;Preto;40188;Automática;2012;Veículo de concessionária;Brasília;DF
125990;6;3.2;Branco;63000;Automática;2013;Veículo de concessionária;Palmas;TO
128490;8;3.2;Prata;36823;Automática;2013;Veículo de concessionária;Guarulhos;SP
129990;6;3.2;Prata;36000;Automática;2013;Veículo de concessionária;Guarulhos;SP
137800;8;3.2;Prata;30000;Automática;2014;Veículo de concessionária;Salvador;BA
134990;8;3.5;Branco;10000;Automática;2014;Veículo de concessionária;Vitória;ES
139990;7;3.2;Prata;84828;Automática;2012;Veículo de concessionária;Palmas;TO
142900;7;3.2;Preto;22000;Automática;2013;Veículo de concessionária;Uberlândia;MG
141900;6;3.2;Prata;100;Automática;2013;Veículo de concessionária;Uberaba;MG
146900;8;3.2;Preto;50380;Automática;2012;Veículo de concessionária;São Paulo;SP
155490;8;3.5;Branco;0;Automática;2015;Veículo de concessionária;São José do Rio Preto;SP
155490;8;3.2;Prata;0;Automática;2015;Veículo de concessionária;São José do Rio Preto;SP
